field,type,label
form1[0].BodyPage5[0].P5_N5ASchoolName_FLD[0],text,Name of school:
form1[0].BodyPage5[0].P5_N5ACity_FLD[0],text,City
form1[0].BodyPage5[0].P5_N5AState_FLD[0],text,State/Province:
form1[0].BodyPage5[0].P5_N5ACountry_FLD[0],text,Country (if not U S Ay)
form1[0].BodyPage5[0].P5_N5B_CB1[0],checkbox,5.B. Were you in special education? NO (Go to 5.C.)
form1[0].BodyPage5[0].P5_N5B_CB2[0],checkbox,YES (Complete below)
form1[0].BodyPage5[0].P5_N5BFrom_FLD[0],text,Dates from: MM/Y Y Y Y
form1[0].BodyPage5[0].P5_N5BTo_FLD[0],text,to MM/Y Y Y Y
form1[0].BodyPage5[0].P5_N5BSchool_CB1[0],checkbox,"If Yes is checked, Check the last grade you received special education. Pre K"
form1[0].BodyPage5[0].P5_N5BSchool_CB2[0],checkbox,Kindergarten
form1[0].BodyPage5[0].P5_N5BSchool_CB3[0],checkbox,First Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB4[0],checkbox,Second Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB5[0],checkbox,Third Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB6[0],checkbox,Fourth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB7[0],checkbox,Fifth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB8[0],checkbox,Sixth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB9[0],checkbox,Seventh Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB10[0],checkbox,Eighth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB11[0],checkbox,Ninth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB12[0],checkbox,Tenth Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB13[0],checkbox,Eleventh Grade
form1[0].BodyPage5[0].P5_N5BSchool_CB14[0],checkbox,Twelfth Grade
form1[0].BodyPage5[0].P5_N5BReason_FLD[0],text,Reason(s) for special education:
form1[0].BodyPage5[0].P5_N5BSchoolSpEd_CB1[0],checkbox,The school where you were last in special education: Same as 5.Ay.
form1[0].BodyPage5[0].P5_N5BSchoolSpEd_CB2[0],checkbox,"If different from 5.Ay., complete below."
form1[0].BodyPage5[0].P5_N5BSchoolName_FLD[0],text,Name of school:
form1[0].BodyPage5[0].P5_N5BCity_FLD[0],text,City
form1[0].BodyPage5[0].P5_N5BState_FLD[0],text,State/Province::
form1[0].BodyPage5[0].P5_N5BCountry_FLD[0],text,Country (if not U S Ay)
form1[0].BodyPage6[0].P6_N5C_CB2[0],checkbox,YES (Complete the table below.)
form1[0].BodyPage6[0].P6_N5CFacilityName_FLD[0],text,Name of Training Facility
form1[0].BodyPage6[0].P6_N5CFacilityPhone_FLD[0],text,Phone Number
form1[0].BodyPage6[0].P6_N5CFacilityAddress_FLD[0],text,Address
form1[0].BodyPage6[0].P6_N5CFacilityCity_FLD[0],text,city
form1[0].BodyPage6[0].P6_N5CFacilityState_FLD[0],text,State/Province
